tweet_id,date,breed,name,retweet_count,favorite_count,jpg_url,dog_stage
892177421306343426,2017-08-01 00:17:27+00:00,Chihuahua,Tilly,6514,33819,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,None
891815181378084864,2017-07-31 00:18:03+00:00,Chihuahua,Archie,4328,25461,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,None
891689557279858688,2017-07-30 15:58:51+00:00,Labrador Retriever,Darla,8964,42908,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,None
891327558926688256,2017-07-29 16:00:24+00:00,Basset,Franklin,9774,41048,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,None
891087950875897856,2017-07-29 00:08:17+00:00,Chesapeake Bay Retriever,NoName,3261,20562,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,None
890971913173991426,2017-07-28 16:27:12+00:00,Appenzeller,Jax,2158,12041,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,None
890729181411237888,2017-07-28 00:22:40+00:00,Pomeranian,NoName,16716,56848,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,None
890609185150312448,2017-07-27 16:25:51+00:00,Irish Terrier,Zoey,4429,28226,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,None
890240255349198849,2017-07-26 15:59:51+00:00,Pembroke,Cassie,7711,32467,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,doggo
890006608113172480,2017-07-26 00:31:25+00:00,Samoyed,Koda,7624,31166,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,None
889880896479866881,2017-07-25 16:11:53+00:00,French Bulldog,Bruno,5156,28268,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,None
889665388333682689,2017-07-25 01:55:32+00:00,Pembroke,NoName,8538,38818,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,puppo
889638837579907072,2017-07-25 00:10:02+00:00,French Bulldog,Ted,4735,27672,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,None
889531135344209921,2017-07-24 17:02:04+00:00,Golden Retriever,Stuart,2321,15359,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,puppo
889278841981685760,2017-07-24 00:19:32+00:00,Whippet,Oliver,5637,25652,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,None
888917238123831296,2017-07-23 00:22:39+00:00,Golden Retriever,Jim,4709,29611,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,None
888804989199671297,2017-07-22 16:56:37+00:00,Golden Retriever,Zeke,4559,26080,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,None
888554962724278272,2017-07-22 00:23:06+00:00,Siberian Husky,Ralphus,3732,20290,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,None
888078434458587136,2017-07-20 16:49:33+00:00,French Bulldog,Gerald,3653,22201,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,None
887705289381826560,2017-07-19 16:06:48+00:00,Basset,Jeffrey,5609,30779,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,None
887473957103951883,2017-07-19 00:47:34+00:00,Pembroke,Canela,18781,69871,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,None
887343217045368832,2017-07-18 16:08:03+00:00,Mexican Hairless,NoName,10737,34222,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,None
887101392804085760,2017-07-18 00:07:08+00:00,Samoyed,NoName,6167,31061,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,None
886983233522544640,2017-07-17 16:17:36+00:00,Chihuahua,Maya,8084,35859,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,None
886736880519319552,2017-07-16 23:58:41+00:00,Kuvasz,Mingus,3443,12306,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,None
886366144734445568,2017-07-15 23:25:31+00:00,French Bulldog,Roscoe,3316,21524,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,pupper
886258384151887873,2017-07-15 16:17:19+00:00,Pug,Waffles,6523,28469,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,None
885984800019947520,2017-07-14 22:10:11+00:00,Blenheim Spaniel,Jimbo,7097,33382,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,None
885528943205470208,2017-07-13 15:58:47+00:00,Pug,Maisey,6683,36689,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,None
885167619883638784,2017-07-12 16:03:00+00:00,Malamute,NoName,4556,22367,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,None
884925521741709313,2017-07-12 00:01:00+00:00,Italian Greyhound,Earl,16439,68152,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,None
884876753390489601,2017-07-11 20:47:12+00:00,Chow,Lola,6096,28514,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,None
884562892145688576,2017-07-11 00:00:02+00:00,Pug,Kevin,5100,24765,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,None
884441805382717440,2017-07-10 15:58:53+00:00,Pembroke,NoName,5856,27478,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,None
